שם יישוב,אג''ס, אוכלוסייה*  ,ערך מדד**,  אשכול***   (מ-1 עד 10)  ,חציון גיל,יחס תלות,אחוז משפחות עם 4 ילדים ויותר,ממוצע שנות לימוד של בני 54-25,אחוז בעלי תואר אקדמי מבני 54-27,אחוז בעלי הכנסה מעבודה מבני 54-25,אחוז נשים בנות,אחוז בעלי הכנסה מעבודה מעל פעמיים השכר הממוצע,אחוז בעלי הכנסה מעבודה מתחת לשכר המינימום,אחוז מקבלי הבטחת הכנסה והשלמת הכנסה בזקנה ושאירים מבני 20 ומעלה,הכנסה חודשית ממוצעת לנפש,מספר כלי רכב בבעלות ל-100 תושבים בני 17 ומעלה,ממוצע אגרה בעד רשיון לרכב ,"ממוצע מספר ימי שהייה בחו""ל",סה''כ,נשואים/נשואות,גרושים/גרושות,אלמנים/אלמנות,רווקים/רווקות,משפחות שבראשן עומד הורה עצמאי,גרוש-אלמן-משפחות שבראשן עומד הורה עצמאי%,עולים מרוסיה,עולים מאתיופיה,עולים מארה''ב,עולים מדרא''פ,עולים משאר הארצות,סה''כ עולים,עולים %,0-5,06-דצמ,13-17,18-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-120,עבירות בטחון,עבירות כלפי המוסר,עבירות כלפי הרכוש,עבירות מרמה,עבירות נגד גוף,עבירות סדר ציבורי,קבוצת כל השאר,,עבירות רשוי,עבירות תנועה,עבירות מין,עבירות כלכליות,עבירות נגד אדם,עבירות מנהליות,סעיפי הגדרה,שאר עבירות,neighborhood_1,neighborhood_2,neighborhood_3
באר שבע,212,"4,506",-0.753,3,31,78,14.32,11.47,20.21,85.38,14.88,2.84,44.93,13.22,"4,173",28.61,"1,253",4.41,4434,1552,512,206,2163,69,17.75,261,544,14,1,1318,2138,48.22,392,480,300,245,187,296,308,301,274,246,242,236,244,210,176,297,10,38,153,33,42,135,15,1,11,13,5,3,1,0,1,0,ו,,
באר שבע,213,"3,759",-0.49,4,28,102.3,24.19,12.95,23.47,84.01,13.91,8.24,41.78,5.38,"4,492",38.95,"1,293",3.28,3959,1503,199,181,2074,33,10.43,77,70,5,0,760,912,23.04,500,567,318,259,178,234,243,226,165,196,191,202,169,149,120,242,2,30,112,22,25,92,12,1,1,5,7,1,3,1,0,0,ו,,
באר שבע,214,"5,010",-0.025,5,34,77.6,7.46,12.87,24.82,89.04,10.2,8.95,39.12,7.22,"5,307",41.75,"1,303",5.61,4933,2020,424,210,2279,78,14.43,254,97,1,1,1670,2023,41.01,396,529,348,289,224,279,283,317,295,335,298,279,270,294,214,283,1,32,135,24,33,105,13,2,5,5,12,8,1,0,0,0,ו,,
באר שבע,215,"1,801",-0.862,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2042,685,279,140,937,39,22.43,109,309,5,1,584,1008,49.36,136,149,126,119,86,138,137,127,92,119,95,93,110,137,146,232,3,18,97,9,30,91,11,2,1,3,1,2,1,0,1,0,ו,,
באר שבע,216,"3,549",-1.138,3,42,93.2,8.75,10.67,15.13,84.15,15.92,2.81,49.97,31.98,"3,995",19.58,"1,277",4.97,3609,1112,651,385,1457,73,30.73,348,335,13,0,1701,2397,66.42,169,249,176,136,128,219,199,202,192,164,184,188,243,251,287,622,4,44,129,22,47,137,13,2,4,5,6,4,0,0,0,2,ו,,
באר שבע,221,"2,976",-0.926,3,42,85.5,6.15,10.87,14.95,82.7,16.91,2.73,47.57,21.53,"4,022",19.31,"1,243",4.64,3255,1080,514,267,1394,76,26.33,325,353,4,0,1443,2125,65.28,204,258,136,138,122,195,202,225,195,191,187,192,211,192,188,419,2,35,146,14,48,114,11,0,3,3,2,2,1,0,1,2,יא,,
באר שבע,222,"3,088",-1.106,3,35,80.2,10.05,11.08,15.99,82.29,19.28,2.24,50.51,22.71,"3,891",20.94,"1,210",4.69,3688,1219,488,235,1741,65,21.37,286,484,33,3,1489,2295,62.23,220,271,196,183,134,231,252,261,261,214,201,215,216,195,220,418,4,34,132,29,35,118,17,0,4,9,5,2,0,0,0,0,יא,,
באר שבע,223,"2,451",-0.142,5,34,69.9,6.42,12.45,25.27,90.58,9.53,6.63,41.15,10.54,"5,212",37.42,"1,307",5.76,2638,1038,260,160,1178,38,17.36,128,238,1,0,833,1200,45.49,195,195,163,144,94,184,180,190,143,132,134,144,181,183,161,215,0,18,91,12,32,91,10,0,2,1,1,0,1,0,0,0,יא,,
באר שבע,224,"2,190",-0.248,5,33,70.3,7.37,12.3,22.66,86.36,13.61,7.5,43.41,9.15,"5,269",37.49,"1,357",5.8,2067,808,183,94,982,23,14.51,107,165,2,2,639,915,44.27,158,168,134,114,95,155,153,139,110,120,135,112,124,118,88,144,0,22,95,15,27,74,10,0,2,4,5,5,0,0,0,0,יא,,
באר שבע,225,"3,554",-0.486,4,35,79.8,10.1,12.31,23.66,87.31,13.77,4.62,43.23,14.98,"4,781",30.63,"1,277",4.75,3610,1359,401,202,1646,71,18.67,286,321,3,1,1379,1990,55.12,257,298,209,179,143,237,258,227,215,224,212,204,190,223,204,330,1,33,127,14,33,99,16,0,1,5,7,0,0,0,0,0,יא,,
